t,x,y,z,vx,vy,vz,wx,wy,wz,event
0.141000,-0.362354,0.000000,1.229402,5.473842,0.000000,0.431351,0.000000,120.000000,0.000000,0
0.142000,-0.356881,0.000000,1.229828,5.470454,0.000000,0.420797,0.000000,120.000000,0.000000,0
0.143000,-0.351413,0.000000,1.230244,5.467070,0.000000,0.410251,0.000000,120.000000,0.000000,0
0.144000,-0.345947,0.000000,1.230649,5.463690,0.000000,0.399712,0.000000,120.000000,0.000000,0
0.145000,-0.340485,0.000000,1.231043,5.460314,0.000000,0.389180,0.000000,120.000000,0.000000,0
0.146000,-0.335027,0.000000,1.231427,5.456941,0.000000,0.378655,0.000000,120.000000,0.000000,0
0.147000,-0.329571,0.000000,1.231801,5.453572,0.000000,0.368137,0.000000,120.000000,0.000000,0
0.148000,-0.324120,0.000000,1.232163,5.450207,0.000000,0.357626,0.000000,120.000000,0.000000,0
0.149000,-0.318671,0.000000,1.232516,5.446846,0.000000,0.347122,0.000000,120.000000,0.000000,0
0.150000,-0.313226,0.000000,1.232858,5.443488,0.000000,0.336625,0.000000,120.000000,0.000000,0
0.151000,-0.307784,0.000000,1.233189,5.440134,0.000000,0.326135,0.000000,120.000000,0.000000,0
0.152000,-0.302346,0.000000,1.233510,5.436783,0.000000,0.315652,0.000000,120.000000,0.000000,0
0.153000,-0.296910,0.000000,1.233820,5.433436,0.000000,0.305175,0.000000,120.000000,0.000000,0
0.154000,-0.291479,0.000000,1.234120,5.430093,0.000000,0.294706,0.000000,120.000000,0.000000,0
0.155000,-0.286050,0.000000,1.234410,5.426753,0.000000,0.284244,0.000000,120.000000,0.000000,0
0.156000,-0.280625,0.000000,1.234689,5.423417,0.000000,0.273789,0.000000,120.000000,0.000000,0
0.157000,-0.275203,0.000000,1.234957,5.420084,0.000000,0.263340,0.000000,120.000000,0.000000,0
0.158000,-0.269785,0.000000,1.235216,5.416755,0.000000,0.252898,0.000000,120.000000,0.000000,0
0.159000,-0.264370,0.000000,1.235463,5.413430,0.000000,0.242463,0.000000,120.000000,0.000000,0
0.160000,-0.258958,0.000000,1.235700,5.410108,0.000000,0.232036,0.000000,120.000000,0.000000,0
0.161000,-0.253550,0.000000,1.235927,5.406789,0.000000,0.221614,0.000000,120.000000,0.000000,0
0.162000,-0.248145,0.000000,1.236144,5.403474,0.000000,0.211200,0.000000,120.000000,0.000000,0
0.163000,-0.242743,0.000000,1.236350,5.400162,0.000000,0.200793,0.000000,120.000000,0.000000,0
0.164000,-0.237344,0.000000,1.236545,5.396854,0.000000,0.190392,0.000000,120.000000,0.000000,0
0.165000,-0.231949,0.000000,1.236730,5.393549,0.000000,0.179998,0.000000,120.000000,0.000000,0
0.166000,-0.226557,0.000000,1.236905,5.390247,0.000000,0.169611,0.000000,120.000000,0.000000,0
0.167000,-0.221169,0.000000,1.237070,5.386949,0.000000,0.159230,0.000000,120.000000,0.000000,0
0.168000,-0.215783,0.000000,1.237224,5.383654,0.000000,0.148856,0.000000,120.000000,0.000000,0
0.169000,-0.210401,0.000000,1.237367,5.380362,0.000000,0.138489,0.000000,120.000000,0.000000,0
0.170000,-0.205023,0.000000,1.237501,5.377074,0.000000,0.128129,0.000000,120.000000,0.000000,0
0.171000,-0.199647,0.000000,1.237624,5.373789,0.000000,0.117775,0.000000,120.000000,0.000000,0
0.172000,-0.194275,0.000000,1.237736,5.370507,0.000000,0.107428,0.000000,120.000000,0.000000,0
0.173000,-0.188906,0.000000,1.237839,5.367229,0.000000,0.097088,0.000000,120.000000,0.000000,0
0.174000,-0.183540,0.000000,1.237930,5.363953,0.000000,0.086754,0.000000,120.000000,0.000000,0
0.175000,-0.178178,0.000000,1.238012,5.360681,0.000000,0.076427,0.000000,120.000000,0.000000,0
